scenario_id,city,name,valence,alpha,base_pref,steered_pref
S2,Los Angeles,Beverly Grove,affluent,-1.25,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-1.0,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-0.75,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-0.5,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,-0.25,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Beverly Grove,affluent,0.0,-1.083333333333334,-1.083333333333334
S2,Los Angeles,Pasadena,affluent,-2.0,-0.958333333333333,-0.916666666666667
S2,Los Angeles,Pasadena,affluent,-1.75,-0.958333333333333,-0.958333333333333
S2,Los Angeles,Pasadena,affluent,-1.5,-0.958333333333333,-0.958333333333333
S2,Los Angeles,Pasadena,affluent,-1.25,-0.958333333333333,-0.916666666666667
S2,Los Angeles,Pasadena,affluent,-1.0,-0.958333333333333,-0.958333333333333
S2,Los Angeles,Pasadena,affluent,-0.75,-0.958333333333333,-0.9166666666666661
S2,Los Angeles,Pasadena,affluent,-0.5,-0.958333333333333,-0.958333333333333
S2,Los Angeles,Pasadena,affluent,-0.25,-0.958333333333333,-0.916666666666667
S2,Los Angeles,Pasadena,affluent,0.0,-0.958333333333333,-0.958333333333333
S2,Los Angeles,Watts,under_resourced,-2.0,-0.0625,-0.04166666666666696
S2,Los Angeles,Watts,under_resourced,-1.75,-0.0625,-0.04166666666666696
S2,Los Angeles,Watts,under_resourced,-1.5,-0.0625,-0.04166666666666696
S2,Los Angeles,Watts,under_resourced,-1.25,-0.0625,-0.0625
S2,Los Angeles,Watts,under_resourced,-1.0,-0.0625,-0.0625
S2,Los Angeles,Watts,under_resourced,-0.75,-0.0625,-0.0625
S2,Los Angeles,Watts,under_resourced,-0.5,-0.0625,-0.0625
S2,Los Angeles,Watts,under_resourced,-0.25,-0.0625,-0.04166666666666696
S2,Los Angeles,Watts,under_resourced,0.0,-0.0625,-0.0625
S2,Los Angeles,Compton,under_resourced,-2.0,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-1.75,-0.9583333333333339,-0.9583333333333339
S2,Los Angeles,Compton,under_resourced,-1.5,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-1.25,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-1.0,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-0.75,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-0.5,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,-0.25,-0.9583333333333339,-0.979166666666667
S2,Los Angeles,Compton,under_resourced,0.0,-0.9583333333333339,-0.9583333333333339
S2,Los Angeles,Inglewood,under_resourced,-2.0,-0.979166666666667,-0.9583333333333339
S2,Los Angeles,Inglewood,under_resourced,-1.75,-0.979166666666667,-0.916666666666667
S2,Los Angeles,Inglewood,under_resourced,-1.5,-0.979166666666667,-0.979166666666667
S2,Los Angeles,Inglewood,under_resourced,-1.25,-0.979166666666667,-0.979166666666667
S2,Los Angeles,Inglewood,under_resourced,-1.0,-0.979166666666667,-0.979166666666667
S2,Los Angeles,Inglewood,under_resourced,-0.75,-0.979166666666667,-0.9583333333333339
S2,Los Angeles,Inglewood,under_resourced,-0.5,-0.979166666666667,-0.958333333333333
S2,Los Angeles,Inglewood,under_resourced,-0.25,-0.979166666666667,-0.9583333333333339
S2,Los Angeles,Inglewood,under_resourced,0.0,-0.979166666666667,-0.979166666666667
S3,Boston,Back Bay,affluent,-2.0,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-1.75,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-1.5,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-1.25,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-1.0,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-0.75,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,-0.5,-2.083333333333333,-2.125
S3,Boston,Back Bay,affluent,-0.25,-2.083333333333333,-2.083333333333333
S3,Boston,Back Bay,affluent,0.0,-2.083333333333333,-2.083333333333333
S3,Boston,Beacon Hill,affluent,-2.0,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-1.75,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-1.5,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-1.25,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-1.0,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-0.75,-1.791666666666667,-1.791666666666667
S3,Boston,Beacon Hill,affluent,-0.5,-1.791666666666667,-1.791666666666666
S3,Boston,Beacon Hill,affluent,-0.25,-1.791666666666667,-1.833333333333333
S3,Boston,Beacon Hill,affluent,0.0,-1.791666666666667,-1.791666666666667
S3,Boston,Brookline,affluent,-2.0,-1.791666666666667,-1.708333333333334
S3,Boston,Brookline,affluent,-1.75,-1.791666666666667,-1.791666666666666
S3,Boston,Brookline,affluent,-1.5,-1.791666666666667,-1.708333333333334
S3,Boston,Brookline,affluent,-1.25,-1.791666666666667,-1.75
S3,Boston,Brookline,affluent,-1.0,-1.791666666666667,-1.75
S3,Boston,Brookline,affluent,-0.75,-1.791666666666667,-1.75
S3,Boston,Brookline,affluent,-0.5,-1.791666666666667,-1.75
S3,Boston,Brookline,affluent,-0.25,-1.791666666666667,-1.75
S3,Boston,Brookline,affluent,0.0,-1.791666666666667,-1.791666666666667
S3,Boston,Roxbury,under_resourced,-2.0,-1.708333333333334,-1.708333333333333
