scenario_id,city,name,valence,token_count,semantic_transparency,mean_pref,std_pref,delta_from_baseline
S8,Boston,Beacon Hill,affluent,2,transparent,-0.7291666666666666,0.20054901497491184,1.84375
S8,Boston,Brookline,affluent,1,semi,-0.3593750000000002,0.34417061808331606,2.213541666666666
S8,Boston,Chelsea,under_resourced,1,opaque,-1.1614583333333333,0.23593232610221118,1.4114583333333333
S8,Boston,Dorchester,under_resourced,1,opaque,-0.7187500000000001,0.11089388487966227,1.8541666666666665
S8,Boston,Roxbury,under_resourced,1,opaque,-0.2760416666666665,0.2587446322577964,2.296875
S8,Chicago,Austin,under_resourced,1,opaque,-0.9322916666666665,0.15900351585910175,1.640625
S8,Chicago,Englewood,under_resourced,1,semi,-0.6718749999999999,0.11583907859452944,1.9010416666666665
S8,Chicago,Harvey,under_resourced,1,opaque,-1.34375,0.37788244056702225,1.2291666666666665
S8,Chicago,Lakeview,affluent,1,transparent,-1.1718750000000002,0.11073068554931917,1.4010416666666663
S8,Chicago,Lincoln Park,affluent,2,transparent,-1.0520833333333333,0.11967838846954237,1.5208333333333333
S8,Chicago,Winnetka,affluent,1,opaque,-1.1510416666666665,0.1265814314830426,1.421875
S8,Los Angeles,Beverly Grove,affluent,2,transparent,-0.9791666666666666,0.03803628871563663,1.59375
S8,Los Angeles,Brentwood,affluent,1,semi,-1.046875,0.03557969015958199,1.5260416666666665
S8,Los Angeles,Compton,under_resourced,1,opaque,-1.3645833333333333,0.27454718612181667,1.2083333333333333
S8,Los Angeles,Inglewood,under_resourced,1,semi,-0.9427083333333334,0.14962820435010604,1.630208333333333
S8,Los Angeles,Pasadena,affluent,1,opaque,-0.8124999999999996,0.15309310892394845,1.760416666666667
S8,Los Angeles,Watts,under_resourced,1,opaque,0.1250000000000001,0.4871021643541717,2.6979166666666665
