label,layer,site,alpha,base_pref,steered_pref,delta_steer
under_Watts,20,name_first,-1.0,-0.16666666666666696,-0.29166666666666696,-0.125
under_Watts,20,answer_pos,-1.0,-0.16666666666666696,-0.2916666666666661,-0.12499999999999911
under_Watts,20,name_first,-0.5,-0.16666666666666696,-0.16666666666666607,8.881784197001252e-16
under_Watts,20,answer_pos,-0.5,-0.16666666666666696,-0.33333333333333304,-0.16666666666666607
under_Watts,20,name_first,0.5,-0.16666666666666696,-0.16666666666666696,0.0
under_Watts,20,answer_pos,0.5,-0.16666666666666696,-0.08333333333333393,0.08333333333333304
under_Watts,20,name_first,1.0,-0.16666666666666696,-0.16666666666666607,8.881784197001252e-16
under_Watts,20,answer_pos,1.0,-0.16666666666666696,0.04166666666666696,0.20833333333333393
under_Watts,20,name_first,2.0,-0.16666666666666696,-0.20833333333333304,-0.041666666666666075
under_Watts,20,answer_pos,2.0,-0.16666666666666696,0.45833333333333304,0.625
under_Watts,20,name_first,3.0,-0.16666666666666696,-0.16666666666666607,8.881784197001252e-16
under_Watts,20,answer_pos,3.0,-0.16666666666666696,0.71875,0.885416666666667
under_Watts,22,name_first,-3.0,-0.16666666666666696,-0.16666666666666696,0.0
under_Watts,22,answer_pos,-3.0,-0.16666666666666696,1.7291666666666665,1.8958333333333335
under_Watts,22,name_first,-2.0,-0.16666666666666696,-0.16666666666666696,0.0
under_Watts,22,answer_pos,-2.0,-0.16666666666666696,0.4375,0.604166666666667
under_Watts,22,name_first,-1.0,-0.16666666666666696,-0.16666666666666696,0.0
under_Watts,22,answer_pos,-1.0,-0.16666666666666696,-0.25,-0.08333333333333304
under_Watts,22,name_first,-0.5,-0.16666666666666696,-0.16666666666666607,8.881784197001252e-16
under_Watts,22,answer_pos,-0.5,-0.16666666666666696,-0.29166666666666696,-0.125
under_Watts,22,name_first,0.5,-0.16666666666666696,-0.20833333333333393,-0.04166666666666696
under_Watts,22,answer_pos,0.5,-0.16666666666666696,0.041666666666666075,0.20833333333333304
under_Watts,22,name_first,1.0,-0.16666666666666696,-0.16666666666666607,8.881784197001252e-16
under_Watts,22,answer_pos,1.0,-0.16666666666666696,0.33333333333333304,0.5
under_Watts,22,name_first,2.0,-0.16666666666666696,-0.20833333333333304,-0.041666666666666075
under_Watts,22,answer_pos,2.0,-0.16666666666666696,1.041666666666666,1.208333333333333
under_Watts,22,name_first,3.0,-0.16666666666666696,-0.125,0.04166666666666696
under_Watts,22,answer_pos,3.0,-0.16666666666666696,1.0937500000000002,1.2604166666666672
